data,ipca,selic,cambio
2005-01-01,0.58,1.38,2.693
2005-02-01,0.59,1.22,2.5978
2005-03-01,0.61,1.53,2.7047
2005-04-01,0.87,1.41,2.5792
2005-05-01,0.49,1.5,2.4528
2005-06-01,-0.02,1.59,2.4135
2005-07-01,0.25,1.51,2.3735
2005-08-01,0.17,1.66,2.3606
2005-09-01,0.35,1.5,2.2944
2005-10-01,0.75,1.41,2.2565
2005-11-01,0.55,1.38,2.2108
2005-12-01,0.36,1.47,2.2855
2006-01-01,0.59,1.43,2.2739
2006-02-01,0.41,1.15,2.1619
2006-03-01,0.43,1.42,2.152
2006-04-01,0.21,1.08,2.1293
2006-05-01,0.1,1.28,2.1781
2006-06-01,-0.21,1.18,2.2483
2006-07-01,0.19,1.17,2.1893
2006-08-01,0.05,1.26,2.1559
2006-09-01,0.21,1.06,2.1687
2006-10-01,0.33,1.09,2.1483
2006-11-01,0.31,1.02,2.1579
2006-12-01,0.48,0.99,2.1499
2007-01-01,0.44,1.08,2.1385
2007-02-01,0.44,0.87,2.0963
2007-03-01,0.37,1.05,2.0887
2007-04-01,0.25,0.94,2.032
2007-05-01,0.28,1.03,1.9816
2007-06-01,0.28,0.91,1.9319
2007-07-01,0.24,0.97,1.8828
2007-08-01,0.47,0.99,1.966
2007-09-01,0.18,0.8,1.8996
2007-10-01,0.3,0.93,1.801
2007-11-01,0.38,0.84,1.7699
2007-12-01,0.74,0.84,1.786
2008-01-01,0.54,0.93,1.7743
2008-02-01,0.49,0.8,1.7277
2008-03-01,0.48,0.84,1.7076
2008-04-01,0.55,0.9,1.6889
2008-05-01,0.79,0.88,1.6605
2008-06-01,0.74,0.96,1.6189
2008-07-01,0.53,1.07,1.5914
2008-08-01,0.28,1.02,1.6123
2008-09-01,0.26,1.1,1.7996
2008-10-01,0.45,1.18,2.1729
2008-11-01,0.36,1.02,2.2663
2008-12-01,0.28,1.12,2.3944
2009-01-01,0.48,1.05,2.3074
2009-02-01,0.55,0.86,2.3127
2009-03-01,0.2,0.97,2.3138
2009-04-01,0.48,0.84,2.2059
2009-05-01,0.47,0.77,2.0609
2009-06-01,0.36,0.76,1.9576
2009-07-01,0.24,0.79,1.9328
2009-08-01,0.15,0.69,1.8452
2009-09-01,0.24,0.69,1.8198
2009-10-01,0.28,0.69,1.7384
2009-11-01,0.41,0.66,1.7262
2009-12-01,0.37,0.73,1.7503
2010-01-01,0.75,0.66,1.7798
2010-02-01,0.78,0.59,1.8416
2010-03-01,0.52,0.76,1.7858
2010-04-01,0.57,0.67,1.7566
2010-05-01,0.43,0.75,1.8132
2010-06-01,0,0.79,1.8065
2010-07-01,0.01,0.86,1.7696
2010-08-01,0.04,0.89,1.7596
2010-09-01,0.45,0.85,1.7187
2010-10-01,0.75,0.81,1.6835
2010-11-01,0.83,0.81,1.7133
2010-12-01,0.63,0.93,1.6934
2011-01-01,0.83,0.86,1.6749
2011-02-01,0.8,0.84,1.668
