data,ipca,selic,cambio,premio_2,premio_5,premio_10,premio_20
2005-01-01,0.58,1.38,2.693,NA,NA,NA,NA
2005-02-01,0.59,1.22,2.5978,NA,NA,NA,NA
2005-03-01,0.61,1.53,2.7047,NA,NA,NA,NA
2005-04-01,0.87,1.41,2.5792,NA,NA,NA,NA
2005-05-01,0.49,1.5,2.4528,NA,NA,NA,NA
2005-06-01,-0.02,1.59,2.4135,NA,NA,NA,NA
2005-07-01,0.25,1.51,2.3735,NA,NA,8.733786982248521,NA
2005-08-01,0.17,1.66,2.3606,NA,NA,8.743470928736816,NA
2005-09-01,0.35,1.5,2.2944,NA,NA,8.750395322626092,NA
2005-10-01,0.75,1.41,2.2565,NA,NA,8.640963313609468,NA
2005-11-01,0.55,1.38,2.2108,NA,NA,8.64596375739645,NA
2005-12-01,0.36,1.47,2.2855,NA,NA,8.667091312533621,NA
2006-01-01,0.59,1.43,2.2739,NA,NA,8.690468329747176,NA
2006-02-01,0.41,1.15,2.1619,NA,NA,8.32679610453649,NA
2006-03-01,0.43,1.42,2.152,NA,NA,7.546753473115513,NA
2006-04-01,0.21,1.08,2.1293,NA,NA,8.323889381985536,NA
2006-05-01,0.1,1.28,2.1781,NA,NA,9.062948023130716,NA
2006-06-01,-0.21,1.18,2.2483,NA,NA,9.757075584671739,NA
2006-07-01,0.19,1.17,2.1893,NA,NA,9.483570371935757,NA
2006-08-01,0.05,1.26,2.1559,NA,NA,8.93056483148958,NA
2006-09-01,0.21,1.06,2.1687,NA,NA,8.771443713017751,NA
2006-10-01,0.33,1.09,2.1483,NA,NA,8.582264652014652,NA
2006-11-01,0.31,1.02,2.1579,NA,NA,8.335162056213019,NA
2006-12-01,0.48,0.99,2.1499,NA,NA,8.022030753659296,NA
2007-01-01,0.44,1.08,2.1385,NA,NA,7.7533243679397525,NA
2007-02-01,0.44,0.87,2.0963,NA,NA,7.56526684746877,NA
2007-03-01,0.37,1.05,2.0887,NA,NA,7.481078671328671,NA
2007-04-01,0.25,0.94,2.032,NA,NA,6.778713017751479,NA
2007-05-01,0.28,1.03,1.9816,NA,NA,6.131905594405595,NA
2007-06-01,0.28,0.91,1.9319,NA,NA,6.147452958579882,NA
2007-07-01,0.24,0.97,1.8828,NA,NA,6.39648843464228,NA
2007-08-01,0.47,0.99,1.966,NA,NA,7.151500643169539,NA
2007-09-01,0.18,0.8,1.8996,NA,NA,6.9072377763936466,NA
2007-10-01,0.3,0.93,1.801,NA,NA,6.726255177514793,NA
2007-11-01,0.38,0.84,1.7699,NA,NA,7.162943639053255,NA
2007-12-01,0.74,0.84,1.786,NA,NA,7.309382201806291,NA
2008-01-01,0.54,0.93,1.7743,NA,NA,7.258480029585799,NA
2008-02-01,0.49,0.8,1.7277,NA,NA,7.158552709436313,NA
2008-03-01,0.48,0.84,1.7076,NA,NA,7.314493047337278,NA
2008-04-01,0.55,0.9,1.6889,NA,NA,7.378880388841927,NA
2008-05-01,0.79,0.88,1.6605,NA,NA,7.11861849112426,NA
2008-06-01,0.74,0.96,1.6189,NA,NA,7.170679487179488,NA
2008-07-01,0.53,1.07,1.5914,NA,NA,7.533784666838178,NA
2008-08-01,0.28,1.02,1.6123,NA,NA,7.46532326007326,NA
2008-09-01,0.26,1.1,1.7996,NA,NA,7.8021458445400755,NA
2008-10-01,0.45,1.18,2.1729,NA,NA,9.024592552096733,NA
2008-11-01,0.36,1.02,2.2663,NA,NA,9.093620340236686,NA
2008-12-01,0.28,1.12,2.3944,NA,NA,8.283680540613233,NA
2009-01-01,0.48,1.05,2.3074,NA,NA,7.4492683150183145,NA
2009-02-01,0.55,0.86,2.3127,NA,NA,7.270193951347798,NA
2009-03-01,0.2,0.97,2.3138,NA,NA,7.042763717052178,NA
2009-04-01,0.48,0.84,2.2059,NA,NA,7.170402958579881,NA
2009-05-01,0.47,0.77,2.0609,NA,NA,6.968881508875739,NA
2009-06-01,0.36,0.76,1.9576,NA,NA,6.643537052690899,NA
2009-07-01,0.24,0.79,1.9328,NA,NA,6.552997491638796,NA
2009-08-01,0.15,0.69,1.8452,NA,NA,6.445465060580445,NA
2009-09-01,0.24,0.69,1.8198,NA,NA,6.3149877430262045,NA
2009-10-01,0.28,0.69,1.7384,NA,NA,6.551505142293604,NA
2009-11-01,0.41,0.66,1.7262,NA,NA,6.721313461538461,NA
2009-12-01,0.37,0.73,1.7503,NA,NA,6.609885018827327,NA
2010-01-01,0.75,0.66,1.7798,NA,NA,6.476143713017751,NA
2010-02-01,0.78,0.59,1.8416,NA,NA,6.391898011176857,NA
2010-03-01,0.52,0.76,1.7858,NA,NA,6.389939606380242,6.220772257607926
2010-04-01,0.57,0.67,1.7566,NA,NA,6.3222667159763315,6.132625222929937
2010-05-01,0.43,0.75,1.8132,NA,6.743573493813878,6.536777613412228,6.273097725204732
2010-06-01,0,0.79,1.8065,NA,6.668513806706114,6.449302056917442,6.262794297846527
2010-07-01,0.01,0.86,1.7696,NA,6.507036444324906,6.393080016137708,6.270490677475391
2010-08-01,0.04,0.89,1.7596,NA,6.2141624193114575,6.153991460462614,6.082317544875506
2010-09-01,0.45,0.85,1.7187,NA,6.16484023668639,6.075303043110735,5.9906669093114955
2010-10-01,0.75,0.81,1.6835,NA,6.039206619822485,5.969776701183432,5.89350101910828
2010-11-01,0.83,0.81,1.7133,NA,6.063846412721894,5.9695622041420116,5.8274687898089175
2010-12-01,0.63,0.93,1.6934,NA,6.16506579624389,5.979480833547723,5.754370756023262
2011-01-01,0.83,0.86,1.6749,NA,6.236712383770076,5.961411242603551,5.693147467394601
2011-02-01,0.8,0.84,1.668,NA,6.476811279585799,6.144250073964497,5.786897834394905
2011-03-01,0.79,0.92,1.6591,NA,6.509595153150017,6.233401061608075,5.866926039715249
2011-04-01,0.77,0.84,1.5864,NA,6.527554188726254,6.277305045157272,5.889845256453235
2011-05-01,0.47,0.99,1.6135,NA,6.565138717052179,6.258144029047876,5.8031385060799074
2011-06-01,0.15,0.96,1.587,NA,6.61608231191885,6.27980325443787,5.857797998180164
2011-07-01,0.16,0.97,1.5639,NA,6.64436443364328,6.371378909551987,6.083111798604792
2011-08-01,0.37,1.07,1.597,NA,6.156043220993054,6.124094417288397,6.029367599003046
2011-09-01,0.53,0.94,1.7498,NA,5.1940120456466605,5.559879543533389,5.755260175917501
2011-10-01,0.43,0.88,1.7726,NA,5.166047559171598,5.525354142011834,5.72763898089172
2011-11-01,0.52,0.86,1.7905,NA,5.142165902366864,5.424748372781065,5.6030185987261145
2011-12-01,0.5,0.91,1.8369,NA,5.099756791285637,5.330125605164067,5.519569079328315
2012-01-01,0.56,0.89,1.7897,NA,5.221868376815492,5.387154316837009,5.493266357845975
2012-02-01,0.45,0.75,1.7184,NA,4.735097438492682,5.20118646838991,5.4665748575259805
2012-03-01,0.21,0.82,1.7953,NA,4.407183431952663,4.960265061861215,5.284533873769543
2012-04-01,0.64,0.71,1.8548,NA,4.255229770710059,4.699635281065088,5.019421019108281
2012-05-01,0.36,0.74,1.986,NA,3.6173939281871976,4.035152299623453,4.380518587145339
2012-06-01,0.08,0.64,2.0492,NA,3.983125295857988,4.456437426035503,4.76381872611465
2012-07-01,0.43,0.68,2.0287,NA,3.480638179128564,4.159956024744486,4.573419224088013
2012-08-01,0.41,0.69,2.0294,NA,3.3406924041677386,3.9418467326987394,4.377747659927998
2012-09-01,0.57,0.54,2.0281,NA,3.2390713952039865,3.8163506695733416,4.279703519946363
2012-10-01,0.59,0.61,2.0298,NA,2.7082481508875738,3.4924353819257665,4.062207411696583
2012-11-01,0.6,0.55,2.0678,NA,2.698026553254438,3.500387869822485,4.076958089171974
2012-12-01,0.79,0.55,2.0778,NA,2.3312619986850756,3.3410425706771862,4.056548761500354
2013-01-01,0.86,0.6,2.0311,NA,2.5242499659600828,3.331451093093916,3.8662889899909008
2013-02-01,0.6,0.49,1.9733,NA,3.2919568027986923,3.8764357883156735,4.123007501769285
2013-03-01,0.47,0.55,1.9828,NA,3.432362422997947,3.8808153986451277,4.136859490445859
2013-04-01,0.55,0.61,2.0022,NA,3.544252768962728,4.094338078544697,4.457928430804864
2013-05-01,0.37,0.6,2.0348,3.0142764658909424,3.5730708744825788,4.147220898781607,4.470812981498332
2013-06-01,0.26,0.61,2.173,4.234372005475701,4.8276220054757015,5.171344841063053,5.316328662420382
2013-07-01,0.03,0.72,2.2522,4.043691587331217,4.767441587331218,5.150353285328533,5.387676433121019
2013-08-01,0.24,0.71,2.3422,4.180910490946425,5.062842309128244,5.4042657160452885,5.497641111754487
2013-09-01,0.35,0.71,2.2705,4.164816172875721,5.216601887161436,5.58320045162411,5.687210919017288
2013-10-01,0.57,0.81,2.1886,4.161499717287147,5.264651891200191,5.6591630604708065,5.821748103018554
2013-11-01,0.54,0.72,2.2954,4.627022758384668,5.726897758384668,6.0779884054194895,6.192606878980891
2013-12-01,0.92,0.79,2.3455,4.605551970274763,5.983409113131906,6.430469242412963,6.582236578707916
2014-01-01,0.55,0.85,2.3822,4.943588140128181,6.316088140128181,6.6376604765739735,6.777034394904459
2014-02-01,0.69,0.79,2.3837,5.2350265229295,6.3611515229295,6.747205315268369,6.906293121019108
2014-03-01,0.92,0.77,2.3261,4.902191901725566,6.255744533304514,6.652148871396835,6.88192128729467
2014-04-01,0.67,0.82,2.2328,4.956784223134839,6.142909223134839,6.443621156852528,6.698056050955414
2014-05-01,0.46,0.87,2.2209,5.06673837228252,6.0653704580675605,6.228331720390084,6.266354868061875
2014-06-01,0.4,0.82,2.2355,4.895124743326488,5.718337871287129,6.077592365815529,6.123886878980891
2014-07-01,0.01,0.95,2.2246,4.791675296848496,5.689584362326393,5.961844031085031,6.058752810855719
2014-08-01,0.25,0.87,2.268,4.481728594243995,5.687389203206035,5.893328112391719,5.931450530785562
2014-09-01,0.57,0.91,2.3329,3.8680024578433203,5.625924605618457,5.696760277938622,5.732291256514187
2014-10-01,0.42,0.95,2.4483,3.8875212034639763,5.738242121122868,5.775572971476045,5.875103849349211
2014-11-01,0.51,0.84,2.5484,3.9785484257357977,5.928597186034393,5.984198917197452,6.111222165605096
2014-12-01,0.78,0.96,2.6394,3.8991483106216167,6.083007129660334,6.118646612623046,6.188439606253619
