ref_date,yield_bid,price_bid,asset_code,matur_date,prazo_anos
2005-07-18,0.0874,675.19,NTN-B Principal 150515,2015-05-15,9.82340862422998
2005-07-19,0.0874,675.51,NTN-B Principal 150515,2015-05-15,9.820670773442847
2005-07-20,0.0873,676.43,NTN-B Principal 150515,2015-05-15,9.817932922655714
2005-07-21,0.0873,676.74,NTN-B Principal 150515,2015-05-15,9.815195071868583
2005-07-22,0.0873,677.22,NTN-B Principal 150515,2015-05-15,9.81245722108145
2005-07-25,0.0873,677.22,NTN-B Principal 150515,2015-05-15,9.804243668720055
2005-07-26,0.0873,677.51,NTN-B Principal 150515,2015-05-15,9.801505817932922
2005-07-27,0.0873,677.79,NTN-B Principal 150515,2015-05-15,9.79876796714579
2005-07-28,0.0873,678.08,NTN-B Principal 150515,2015-05-15,9.796030116358658
2005-07-29,0.0873,678.48,NTN-B Principal 150515,2015-05-15,9.793292265571527
2005-08-01,0.0873,678.76,NTN-B Principal 150515,2015-05-15,9.78507871321013
2005-08-02,0.0873,679.05,NTN-B Principal 150515,2015-05-15,9.782340862422998
2005-08-03,0.0873,679.33,NTN-B Principal 150515,2015-05-15,9.779603011635865
2005-08-04,0.0873,679.62,NTN-B Principal 150515,2015-05-15,9.776865160848734
2005-08-05,0.0876,678.2,NTN-B Principal 150515,2015-05-15,9.774127310061601
2005-08-08,0.0874,679.7,NTN-B Principal 150515,2015-05-15,9.765913757700206
2005-08-09,0.0873,680.48,NTN-B Principal 150515,2015-05-15,9.763175906913073
2005-08-10,0.0873,680.76,NTN-B Principal 150515,2015-05-15,9.760438056125942
2005-08-11,0.0873,681.04,NTN-B Principal 150515,2015-05-15,9.757700205338809
2005-08-12,0.0874,680.82,NTN-B Principal 150515,2015-05-15,9.754962354551678
2005-08-15,0.0874,681.12,NTN-B Principal 150515,2015-05-15,9.74674880219028
2005-08-16,0.0874,681.42,NTN-B Principal 150515,2015-05-15,9.744010951403148
2005-08-17,0.0875,681.12,NTN-B Principal 150515,2015-05-15,9.741273100616016
2005-08-18,0.0875,681.42,NTN-B Principal 150515,2015-05-15,9.738535249828884
2005-08-19,0.0875,681.87,NTN-B Principal 150515,2015-05-15,9.735797399041752
2005-08-22,0.0875,682.17,NTN-B Principal 150515,2015-05-15,9.727583846680355
